Bairro,Zona administrativa,Área,População,Densidade Demográfica,Domicílios particulares
Adrianópolis,Centro-Sul,24845,10459,"3 560,88",3 224
Aleixo,Centro-Sul,61834,24417,"3 340,40",6 101
Alvorada,Centro-Oeste,55318,76392,"11 681,73",18 193
Armando Mendes,Leste,30765,33441,"9 194,86",7 402
Betânia,Sul,5251,12940,"20 845,55",3 119
Cachoeirinha,Sul,19771,20035,"8 572,15",5 363
Centro,Sul,42694,39228,"7 772,29",10 828
Chapada,Centro-Sul,24127,13219,"4 634,64",4 324
Cidade de Deus,Norte,67676,82919,"10 364,38",19 385
Cidade Nova,Norte,"1 419,38",143201,"8 534,36",34 239
Colônia Antônio Aleixo,Leste,92382,19626,"1 797,10",4 125
Colônia Oliveira Machado,Sul,14001,10055,"6 075,28",2 140
Colônia Santo Antônio,Norte,34208,20851,"5 156,10",5 112
Colônia Terra Nova,Norte,94398,53287,"4 775,10",12 778
Compensa,Oeste,50827,89645,"14 919,63",19 956
Coroado,Leste,"1 031,62",60709,"4 978,00",14 571
Crespo,Sul,11011,18266,"14 032,33",4 312
Da Paz,Centro-Oeste,24097,17961,"6 304,93",4 452
Distrito Industrial I,Sul,"1 168,59",3201,23173,812
Distrito Industrial II,Leste,"5 137,69",4609,7589,1 263
Dom Pedro,Centro-Oeste,27578,20179,"6 189,72",4 936
Educandos,Sul,8283,18745,"19 144,03",4 266
Flores,Centro-Sul,"1 311,57",56859,"3 667,21",15 639
Gilberto Mestrinho,Leste,70715,65429,"7 826,77",15 188
Glória,Oeste,4947,10617,"18 154,44",2 422
Japiim,Sul,54763,63092,"9 745,63",16 322
Jorge Teixeira,Leste,"1 557,15",133441,"7 249,08",30 331
Lago Azul,Norte,"2 961,87",9022,25768,2 341
Lírio do Vale,Oeste,21401,25457,"10 062,15",6 162
Mauazinho,Leste,74883,27852,"3 146,24",6 066
Monte das Oliveiras,Norte,40192,47478,"9 992,54",11 398
Morro da Liberdade,Sul,7137,14078,"16 686,28",3 402
Nossa Senhora Aparecida,Sul,6685,8270,"10 465,22",2 222
Nossa Senhora das Graças,Centro-Sul,21172,17869,"7 139,62",5 069
Nova Cidade,Norte,"1 044,48",70428,"5 703,89",18 005
Nova Esperança,Oeste,14778,20919,"11 974,56",5 073
Novo Aleixo,Norte,"1 276,78",114209,"7 566,77",26 457
Novo Israel,Norte,14014,19887,"12 004,42",4 505
Parque 10 de Novembro,Centro-Sul,82112,48771,"5 024,36",13 433
Petrópolis,Sul,32410,48717,"12 715,21",11 561
Planalto,Centro-Oeste,42922,19249,"3 793,63",4 818
Ponta Negra,Oeste,"2 413,04",5919,20750,2 304
Praça 14 de Janeiro,Sul,10034,12117,"10 215,27",3 004
Presidente Vargas,Sul,5670,9391,"14 010,58",2 213
Puraquequara,Leste,"4 055,69",6923,14439,1 758
Raiz,Sul,8592,16694,"16 436,22",4 061
Redenção,Centro-Oeste,30016,41572,"11 715,75",9 457
Santa Etelvina,Norte,66945,31043,"3 922,62",7 166
Santa Luzia,Sul,2739,7688,"23 742,24",1 897
Santo Agostinho,Oeste,14907,19616,"11 131,01",4 663
Santo Antônio,Oeste,11315,23356,"17 460,89",5 617
São Francisco,Sul,16228,19889,"10 367,27",4 474
São Geraldo,Centro-Sul,10450,8983,"7 271,77",2 497
São Jorge,Oeste,32095,25585,"6 743,42",6 461
São José Operário,Leste,54310,78222,"12 183,58",17 833
São Lázaro,Sul,8173,14108,"14 601,74",3 502
São Raimundo,Oeste,11245,18199,"13 690,53",4 356
Tancredo Neves,Leste,30464,57728,"16 029,74",12 853
Tarumã,Oeste,"3 928,07",33168,71427,8 912
Tarumã-Açu,Oeste,"4 807,05",14249,25074,3 914
Vila Buriti,Sul,"1 004,96",2160,18180,616
Vila da Prata,Oeste,6613,13052,"16 695,90",2 933
Zumbi dos Palmares,Leste,25105,41563,"14 004,78",8 853

